id	glob_dice	glob_jacc	dice	jc	hd95	asd	Prec	Reca
image_002.nii.gz	0.892263150441364	0.8054829545454546	0.8939435747930903	0.8093972733652265	1.0	0.22027340459331546	0.9	0.8181818181818182
image_003.nii.gz	0.8240614409577043	0.7007691300035556	0.8666108986704326	0.7656581902898403	1.0	0.2725740874885477	0.7692307692307693	0.9090909090909091
image_005.nii.gz	0.8665246775897634	0.7644848197904953	0.8940622998369047	0.809664341560234	1.0	0.27436531015887944	0.9166666666666666	1.0
image_006.nii.gz	0.8858762632487059	0.7951327433628319	0.9171446177833275	0.8481134963068392	1.0	0.1543515978588547	0.9090909090909091	0.9090909090909091
image_007.nii.gz	0.8340417425676561	0.7153272745838865	0.8842463619564764	0.7937000928624448	1.0	0.1827378238632524	0.6923076923076923	0.9
image_008.nii.gz	0.8959394918594535	0.81149491830696	0.9000319236838721	0.8196691100495316	1.0376557783975542	0.1958831704065438	1.0	1.0
image_009.nii.gz	0.884352541775054	0.7926809990515333	0.8914806033718317	0.8057236757802606	1.0	0.1993189601842763	1.0	1.0
image_010.nii.gz	0.9181743112378951	0.8487266671292762	0.9203352880970495	0.8529657188747294	1.0	0.15126679864508522	1.0	1.0
image_011.nii.gz	0.9058575774120583	0.8279155973766752	0.9059529852918847	0.8287877964908734	1.0	0.16265583239567413	1.0	1.0
image_012.nii.gz	0.7788790355300528	0.6378393772546042	0.8707615951021265	0.7717183712399351	1.0	0.20264186895320377	0.6428571428571429	0.9
image_013.nii.gz	0.8796329198016284	0.78512920929976	0.9025958189563075	0.8237092906804999	1.0	0.18742471640680158	0.75	0.9
image_014.nii.gz	0.9138524636426919	0.841370470449664	0.9188492163714245	0.8506848481374975	1.0	0.15514851727687334	1.0	1.0
image_015.nii.gz	0.8555809025012486	0.7476115213134864	0.8816059630535547	0.7892064643500653	1.0414213562373096	0.19295900553772155	0.9090909090909091	1.0
image_016.nii.gz	0.8673163278615216	0.7657180457312058	0.8806583448734681	0.7875723271855808	1.0	0.24343636194804066	1.0	1.0
image_017.nii.gz	0.9220333340269252	0.8553449407404548	0.9220470379845469	0.8559618426465408	1.0	0.13895771316282798	1.0	1.0
image_018.nii.gz	0.8294451281502488	0.7085914108746829	0.8784884836886238	0.7837292556455108	1.0	0.2666831382098278	0.8181818181818182	0.8181818181818182
image_020.nii.gz	0.8700364800671863	0.7699686447567066	0.8808881408933675	0.7881476561764889	1.0	0.21862961437666786	1.0	1.0
image_021.nii.gz	0.8631950198652985	0.7593167121444324	0.8765697137217259	0.7808228854600103	1.0	0.2252961301649851	0.9090909090909091	0.9090909090909091
image_022.nii.gz	0.8399345000511719	0.7240405822673136	0.8487818490789882	0.7382404991449412	1.0	0.29831149516823013	0.9090909090909091	0.9090909090909091
