id	glob_dice	glob_jacc	dice	jc	hd95	asd	Prec	Reca
image_002.nii.gz	0.9060529534156064	0.8282420581915326	0.9106787010273553	0.8369045426680355	1.0	0.17439824548597027	0.9	0.8181818181818182
image_003.nii.gz	0.8522463251362977	0.7425341724455846	0.86226604559827	0.7587848993444476	1.0	0.27034504984286006	0.9090909090909091	0.9090909090909091
image_005.nii.gz	0.9061984976493243	0.8284853291038858	0.9056971849524488	0.8283864635244087	1.0	0.23608314468000247	1.0	1.0
image_006.nii.gz	0.9178821580096904	0.8482275426874536	0.9265514110710978	0.8636043932404738	1.0	0.141030426719807	0.9	0.8181818181818182
image_007.nii.gz	0.8910422423513958	0.8034952063825508	0.8912034244147264	0.8042966812783564	1.0	0.18277425505673936	0.8181818181818182	0.9
image_008.nii.gz	0.8951061125715977	0.8101285768309593	0.8973905685236402	0.8148228721918733	1.0	0.2051414612546109	1.0	1.0
image_009.nii.gz	0.8929289918783995	0.8065688517970118	0.8913951439168336	0.8053448164110851	1.0	0.1960683431686534	1.0	1.0
image_010.nii.gz	0.9274993199970327	0.8648006824522169	0.9274088630921343	0.864836005477325	1.0	0.1379497790496068	1.0	1.0
image_011.nii.gz	0.9104170562932485	0.8355647099210436	0.9106973696794113	0.836647214186917	1.0	0.15116910577149578	1.0	1.0
image_012.nii.gz	0.8740441268647361	0.7762685445486681	0.8745325188330592	0.7775964010733691	1.0	0.20399494925902265	0.8181818181818182	0.9
image_013.nii.gz	0.9023320176749013	0.8220445819723798	0.9055769108608808	0.8283540423062792	1.0	0.18407359038024562	0.8181818181818182	0.9
image_014.nii.gz	0.9244824064617956	0.8595697662373537	0.9245705190672268	0.8599653577297293	1.0	0.1561307156045813	1.0	1.0
image_015.nii.gz	0.8660970979115812	0.7638194560719497	0.8767029171883616	0.781746280972085	1.0414213562373096	0.2192695502577267	1.0	1.0
image_016.nii.gz	0.8787833827893176	0.783776630938203	0.8780483102416018	0.783100167549939	1.0	0.2554815221395315	1.0	1.0
image_017.nii.gz	0.9137319587628866	0.8411661984663276	0.9133381815666769	0.8414219072466782	1.0	0.15663442766321628	1.0	1.0
image_018.nii.gz	0.8826383497837418	0.7899307709486117	0.8896558633375604	0.8018071100759617	1.0	0.2510901282998694	0.9	0.8181818181818182
image_020.nii.gz	0.887491944923	0.7977397924202662	0.886178469911714	0.7972941097575135	1.0	0.2062831372386757	0.8181818181818182	0.9
image_021.nii.gz	0.8734085797412459	0.775266493278142	0.8838106923893723	0.7922624277338776	1.0	0.2261429096709775	0.9090909090909091	0.9090909090909091
image_022.nii.gz	0.8576311226156669	0.750747976064766	0.8655884362852824	0.7640684703842914	1.0	0.2788952779205939	0.9090909090909091	0.9090909090909091
image_023.nii.gz	0.8987705753164127	0.8161519799333854	0.8997956270483536	0.8196418804205813	1.0	0.18272168288092064	1.0	1.0
image_026.nii.gz	0.9088609258468312	0.8329469151787059	0.9231653554117464	0.8575251159528049	1.0	0.13967375299748072	0.9	0.9
image_027.nii.gz	0.8953092508419057	0.8104614359486924	0.8926424897896265	0.8073637584017583	1.0	0.2553640161404354	1.0	1.0
image_028.nii.gz	0.8785168591918956	0.7833527114450108	0.8967147987415662	0.8164164894567528	1.0	0.21152030608992245	0.8888888888888888	0.8
image_029.nii.gz	0.9062574986002613	0.8285839650927529	0.9016140863539575	0.8213898742817874	1.0	0.22237714526995842	0.8181818181818182	0.9
image_030.nii.gz	0.9158815725393387	0.8448169031538509	0.9243387977377944	0.8593958201112926	1.0	0.14837064113139256	0.9	0.8181818181818182
image_031.nii.gz	0.897940309435271	0.8147837336969824	0.9165039062560473	0.8468796161541204	1.0	0.1814194702812888	0.9	0.8181818181818182
