id	glob_dice	glob_jacc	dice	jc	hd95	asd	Prec	Reca
image_1058174.nii.gz	0.906348325004627	0.8287358267050262	0.9076992086820969	0.8317270876423458	1.0	0.23093480991326	1.0	1.0
image_1119450.nii.gz	0.8947149553908967	0.8094879775626774	0.9022536168985672	0.8224840473088961	1.0920474583051325	0.23568844123850935	0.9	0.8181818181818182
image_1649674.nii.gz	0.8966820072750659	0.8127140255009108	0.8938494732432897	0.8094966830248496	1.0	0.23897550817356414	1.0	1.0
image_1967687.nii.gz	0.8881186363904917	0.7987530553685925	0.9004641270389158	0.8193554987468151	1.0	0.21140052589368039	0.875	0.7777777777777778
image_1968533.nii.gz	0.9282857904558784	0.8661691542288558	0.9262236694694994	0.8637747487756964	1.0	0.1519446301624038	1.0	1.0
image_2064708.nii.gz	0.8982601431114017	0.8153105631016748	0.8960828018570051	0.8132832418050131	1.0	0.24168358932633685	0.9	0.8181818181818182
image_2101860.nii.gz	0.9117635289252891	0.8378358501666994	0.9111703290613657	0.8387676012251789	1.0	0.20490758782817037	1.0	1.0
image_2694938.nii.gz	0.9285818302856311	0.8666847889402354	0.9281625005864904	0.8662173576340005	1.0	0.17435430398090956	1.0	1.0
image_2976481.nii.gz	0.9271383642926859	0.864173285198556	0.9256037597769762	0.8620198011386208	1.0	0.17491514233092947	1.0	1.0
image_3044032.nii.gz	0.9266756303759233	0.8633695987919141	0.9275522736856581	0.865492726536944	1.0	0.15106155439573943	1.0	1.0
image_3049361.nii.gz	0.9277150721371437	0.8651758949798436	0.9286456718250676	0.867081253881041	1.0	0.15821616325923496	1.0	1.0
image_3053548.nii.gz	0.9015914675724008	0.8208161544227887	0.9016317840995598	0.8229628408936016	1.0376557783975542	0.22048550203627784	1.0	1.0
image_3061322.nii.gz	0.9352022504607624	0.8782909720324314	0.9348169835693582	0.8778474043373649	1.0	0.1527835833699097	1.0	1.0
image_3065090.nii.gz	0.9093358122593007	0.8337449991302835	0.9094607658148565	0.8346242315381898	1.0	0.18611496368978378	1.0	1.0
image_3066568.nii.gz	0.9390423830157325	0.8850894399391047	0.9394350791478463	0.8860992254972562	1.0	0.14165227293985616	1.0	1.0
image_3070144.nii.gz	0.9169973871901702	0.8467176129991393	0.9173576524345097	0.8486318815536376	1.0	0.19649916186928487	1.0	1.0
image_3088325.nii.gz	0.9043979599379112	0.8254803540587219	0.9106392586018436	0.8369526419432762	1.0	0.1811747239926237	0.8888888888888888	0.8
image_3101781.nii.gz	0.9013118261062001	0.8203527147397163	0.9033910360275662	0.8258538403244995	1.0	0.2343347249551986	1.0	1.0
image_3130193.nii.gz	0.8828705838944747	0.7903028701654722	0.8903834397163498	0.80439103812749	1.0	0.2129721880996452	0.9090909090909091	0.9090909090909091
image_3151224.nii.gz	0.929354992183783	0.8680328076991443	0.9286462599775938	0.8685036047513838	1.0	0.15376816297976068	1.0	1.0
image_3152660.nii.gz	0.909906751735259	0.8347054283509133	0.9097863443204105	0.8349742829087529	1.0	0.19919808880479037	1.0	1.0
image_3177287.nii.gz	0.9352531265863676	0.878380721220527	0.9349631136997424	0.8781107635852284	1.0	0.1459786258436401	1.0	1.0
image_3204578.nii.gz	0.9249444648510609	0.8603690084930526	0.9232190368310589	0.8586358201700741	1.0	0.1585178242084043	0.8181818181818182	0.9
image_3208039.nii.gz	0.9236797910057847	0.8581830790568654	0.9229368871165573	0.8575125354526031	1.0	0.17383057393086604	1.0	1.0
image_557087.nii.gz	0.9317809460731342	0.8722751599007963	0.9310999876992299	0.8715859272475458	1.0	0.14477339957086227	1.0	1.0
