id	glob_dice	glob_jacc	dice	jc	hd95	asd	Prec	Reca
image_1058174_sag.nii.gz	0.8928253881403461	0.8063998023227081	0.8949371115842215	0.8107269667297334	1.0	0.2556566109128322	1.0	1.0
image_1119450_sag.nii.gz	0.856932505571474	0.7496779584305261	0.8585460181864598	0.7527726029331178	1.1500255945338986	0.33875777288912273	1.0	1.0
image_1649674_sag.nii.gz	0.8797711137013882	0.7853494267660525	0.8776916651675113	0.7835550679189406	1.0376557783975542	0.2596642100285912	1.0	1.0
image_1967687_sag.nii.gz	0.8654802189079668	0.7628604043156461	0.8722681629909242	0.7743575290652924	1.0	0.23259395752266743	0.6363636363636364	0.7777777777777778
image_1968533_sag.nii.gz	0.9090562384486754	0.8332750692446285	0.9094304435915163	0.834569932875943	1.0	0.1704000707626575	1.0	1.0
image_2064708_sag.nii.gz	0.8638106416275431	0.7602699631555387	0.8774468151115895	0.7825222562077223	1.0	0.248941003794228	0.8	0.7272727272727273
image_2101860_sag.nii.gz	0.8935957721276684	0.807657589890176	0.8954349063055389	0.8119848660592072	1.0	0.25173060014788207	1.0	1.0
image_2694938_sag.nii.gz	0.8641211025756891	0.7607510840593548	0.8936043073134721	0.8087322417685487	1.0	0.21771177669841185	0.6153846153846154	0.7272727272727273
image_2976481_sag.nii.gz	0.8859716775241627	0.7952864928560908	0.8898792423870499	0.8020362226945095	1.0	0.2242970216775682	0.8181818181818182	0.9
image_3044032_sag.nii.gz	0.8914786251547177	0.804205174013124	0.8934645391692889	0.8082580267606658	1.0	0.21527987540657964	1.0	1.0
image_3049361_sag.nii.gz	0.8943233118816636	0.8088470359302244	0.8988062067922409	0.8163316161890537	1.0	0.2063244880721094	0.8181818181818182	0.9
image_3053548_sag.nii.gz	0.8963150055048248	0.8121112545475883	0.896018662701384	0.813025502688872	1.0	0.23586778623377505	1.0	1.0
image_3061322_sag.nii.gz	0.9079906431162491	0.8314861382757444	0.9084241556595315	0.8326172980908871	1.0	0.19501128147808242	1.0	1.0
image_3065090_sag.nii.gz	0.8767550702028081	0.7805555555555556	0.877133661510107	0.7820666277471379	1.0	0.22766815574016877	1.0	1.0
image_3066568_sag.nii.gz	0.915789640274107	0.8446604776084545	0.9177900067581658	0.8486775864401018	1.0	0.18638726498216993	1.0	1.0
image_3070144_sag.nii.gz	0.8878166817293957	0.7982646989436158	0.8997288307072068	0.8181763749599255	1.0	0.2365137543648095	1.0	1.0
image_3088325_sag.nii.gz	0.8691669141901293	0.768607608936076	0.8826895144317999	0.7913434523360396	1.0	0.21476027446151563	0.7272727272727273	0.8
image_3101781_sag.nii.gz	0.8900042143979158	0.8018086428275576	0.8912827259139534	0.8041652985514415	1.0	0.2523038948602486	1.0	1.0
image_3130193_sag.nii.gz	0.8585528872309007	0.7521617757200245	0.8765664300127506	0.7814820552185966	1.0	0.23354538551316206	0.8181818181818182	0.8181818181818182
image_3151224_sag.nii.gz	0.9033090058811025	0.8236677521062697	0.9025513759567679	0.8233945488936034	1.0	0.19552928017694404	1.0	1.0
image_3152660_sag.nii.gz	0.8542126735786204	0.7455246308637136	0.859478670660601	0.7541045460705116	1.0	0.2751656096255314	0.8181818181818182	0.9
image_3177287_sag.nii.gz	0.9173803036200856	0.8473707865168539	0.9170512813386605	0.8472889743608975	1.0	0.15592636949946168	1.0	1.0
image_3204578_sag.nii.gz	0.8932498059251502	0.807092522510766	0.8900338923381008	0.8024157627361715	1.0	0.21683695735699227	0.8181818181818182	0.9
image_3208039_sag.nii.gz	0.8953342286531214	0.8105023726420644	0.8950483858118962	0.8106493476076068	1.0	0.2074349707980293	1.0	1.0
image_557087_sag.nii.gz	0.9046390789129378	0.8258821923418197	0.9050367469913311	0.8269573024925188	1.0	0.1625628019398278	1.0	1.0
