id	glob_dice	glob_jacc	dice	jc	hd95	asd	Prec	Reca
image_2042954.nii.gz	0.9176454885210892	0.8478234060919966	0.922787524376901	0.857898866814672	1.0	0.1702950382027099	0.8	0.8888888888888888
image_2288110.nii.gz	0.9133442671835396	0.8405093164292967	0.911597328382467	0.8391927193246494	1.1123698161363444	0.204161425957785	1.0	1.0
image_2694938.nii.gz	0.9309114363887935	0.8707524035654509	0.931130127618866	0.871456243939329	1.0	0.1689816029641592	1.0	1.0
image_2957899.nii.gz	0.9141137295081967	0.8418135069469016	0.916327250719672	0.8474084491736043	1.0376557783975542	0.19207845004686616	1.0	1.0
image_3006363.nii.gz	0.8383200456629412	0.7216445825144234	0.8930781516299564	0.8092793271278761	1.320377241017041	0.29223541198458974	0.7	0.7
image_3020860.nii.gz	0.8759980399504222	0.779356327734325	0.8877000584308665	0.7993182452160776	1.0	0.2578389752200782	0.9	0.9
image_3033805.nii.gz	0.8106489314120141	0.6815892740353172	0.9262338458128637	0.8637860734991903	1.0	0.1876997798980549	0.7777777777777778	0.7777777777777778
image_3054523.nii.gz	0.9056050401911797	0.8274937965260546	0.9057450800687593	0.8282724604344547	1.0463240669028988	0.22632994859214894	1.0	1.0
image_3056137.nii.gz	0.879167618679368	0.784388132722825	0.8817335461832958	0.7904956613442521	1.1876813729314526	0.3162585434075738	1.0	1.0
image_3058723.nii.gz	0.8941640357537732	0.8085865034813405	0.9117372721636517	0.839285920553426	1.0414213562373096	0.2401217138172706	0.9090909090909091	0.9090909090909091
image_3059472.nii.gz	0.8961416824794434	0.8118267247306898	0.8947491770308144	0.8121338331607159	1.0	0.25521563924628227	1.0	1.0
image_3060884.nii.gz	0.8703385461419488	0.7704419259146573	0.869907756760021	0.772245500398702	1.0909090909090908	0.31154521198266755	1.0	1.0
image_3063397.nii.gz	0.7821188442667636	0.6421963592957326	0.8290182518820062	0.7090155515476804	1.6625703849682212	0.4885778149858268	0.4444444444444444	0.36363636363636365
image_3117810.nii.gz	0.9108596520857963	0.8363106314353058	0.9108319424761201	0.8375188224351007	1.0	0.22896360057123336	1.0	1.0
image_3118049.nii.gz	0.879968417463707	0.7856639323250448	0.8822051434360318	0.7911218854560153	1.0460237291525663	0.23797172581029993	1.0	1.0
image_3123166.nii.gz	0.8645812193778448	0.7614646103564499	0.8825234246351025	0.7912881424091889	1.1273627077713302	0.26768301991737276	0.9	0.9
image_3129025.nii.gz	0.9198553262336022	0.8516038162055861	0.9262686989842495	0.863889246894615	1.0414213562373096	0.19387396568998644	1.0	1.0
image_3142045.nii.gz	0.8757856198515204	0.7790201186857721	0.8866016064620138	0.7986273381913778	1.0460237291525663	0.2867306038261619	0.9	0.9
image_3147427.nii.gz	0.8282473095400741	0.7068448114379647	0.8453567079836188	0.7327741455780673	2.241553482507445	0.6132303597248033	0.7	0.7
image_3148540.nii.gz	0.8589692246079911	0.7528011015416183	0.8912522357039094	0.8054962322452001	1.0	0.23955458111379593	0.75	0.75
image_3174822.nii.gz	0.9036431979181726	0.824223643436408	0.9221578926471985	0.8580106186177806	1.123606797749979	0.2020958386133584	0.9090909090909091	0.9090909090909091
image_3186681.nii.gz	0.9026016260162602	0.8224922210697881	0.9303742473567236	0.8704243326540512	1.0460237291525663	0.172787683514689	0.9	0.9
image_3187148.nii.gz	0.9319582877225326	0.8725860394864603	0.9273073039031843	0.8650486341933915	1.0	0.1570464770117247	0.8888888888888888	0.8
image_3203348.nii.gz	0.9332442481989309	0.8748434181144817	0.9363998025501927	0.8806759214093893	1.0	0.14691415448001938	0.9	0.8181818181818182
image_3214426.nii.gz	0.9116358207996919	0.8376201993982656	0.906955225124801	0.8312761423525693	1.0	0.21951436161591475	0.8181818181818182	0.9
image_704424.nii.gz	0.8618838281925627	0.7572898527782175	0.8691713427387743	0.7694707571348576	1.082842712474619	0.3113831162412478	0.5555555555555556	0.5
